Torque [Nm]-RPM: EFFICIENCY,100,300,500,700,900,1100,1300,1500,1700,1900,2100,2300,2500,2700,2900,3100,3300,3500,3700,3900,4100,4300,4500,4700,4900,5100,5300,5500,5700,5900,25000
0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
5,38.50111133,65.3255097,76.07239214,81.79966112,85.37387566,87.81482241,89.59830824,90.957759,92.02076702,91.10573388,86.96129087,83.68201159,80.24410356,79.92151297,79.02260643,79.11875661,78.93588616,78.77801879,79.21048198,79.32422732,79.96179501,80.22003291,80.81376613,81.07884779,81.47143707,81.547637,81.9855564,82.73457169,83.46747649,84.02634565,98
205,85.82891708,94.71409937,96.75299517,97.62358628,98.1406304,98.46991426,98.69670588,98.88698824,99.0381946,98.83030236,98.00457297,97.05740035,96.23412136,95.42020082,94.74691067,94.30829926,93.9063334,93.65879893,93.39208697,93.28717435,93.20901948,93.13933903,92.93499323,93.0223782,93.01288703,93.02227827,93.06800166,93.1475905,93.16499575,93.23551985,98
405,89.90320331,96.31424155,97.71524209,98.35144025,98.70601925,98.9300776,99.08954777,99.24304493,99.37391056,99.21050745,98.72767781,98.15869335,97.65580799,97.19462895,96.78883343,96.50031245,96.2515249,96.03226965,95.92839162,95.74719203,95.69288767,95.6382623,95.6051718,95.52477717,95.5321849,95.49462539,95.5135492,95.54434725,95.5080606,95.57904846,98
605,90.78100522,96.61500079,97.91783352,98.48324029,98.80614391,99.0197666,99.15946939,99.33988197,99.46556119,99.30155908,98.94241055,98.52174803,98.20979158,97.83791587,97.57693873,97.38474264,97.16529822,96.98214109,96.87183936,96.79002418,96.79005746,96.72458024,96.70716878,96.67773499,96.62963798,96.62216255,96.67952212,96.65263812,96.72703572,96.71923293,98
805,90.73933609,96.59125076,97.89753301,98.46627472,98.79675092,99.00735924,99.14943498,99.36007301,99.48009767,99.31578851,99.02799549,98.70104332,98.46083121,98.15391592,97.96418031,97.79380101,97.63887422,97.54288505,97.4310473,97.37854614,97.36292077,97.36435078,97.28834177,97.26247835,97.26805692,97.29982855,97.32592727,97.34116049,97.36407394,97.38661226,98
1005,90.43708615,96.44513963,97.81054053,98.39796146,98.7431544,98.96047023,99.14244507,99.36251131,99.46140321,99.30639884,99.05231727,98.80677374,98.57639633,98.35610072,98.18393302,98.0734105,97.94026409,97.87932382,97.76700017,97.73338651,97.73211466,97.71345919,97.7078632,97.70479753,97.69979533,97.7231234,97.74330251,97.76338375,97.78329478,97.81469489,98
1205,89.94154018,96.25317638,97.66919683,98.30219536,98.66362565,98.89840739,99.11243412,99.35088022,99.43270492,99.28221391,99.06187681,98.84172184,98.66472751,98.47462684,98.33103112,98.23348822,98.14007847,98.06542353,98.04341759,97.9964296,97.98848907,97.9821305,97.99094457,97.9772377,97.9948397,97.99999096,98.02838279,98.03938826,98.08336276,98.0877525,98
1405,89.42541505,96.01574572,97.52029391,98.19588472,98.58145198,98.82696769,99.07553814,99.34440953,99.39438598,99.24976506,99.05897018,98.85447002,98.72582451,98.54821315,98.41858718,98.35089444,98.26973932,98.22272962,98.19648784,98.16776004,98.16299031,98.15724079,98.1694513,98.18098327,98.19049876,98.19829147,98.21752289,98.23337913,98.24878052,98.27159902,98
1605,88.82530125,95.76130012,97.35746548,98.07926479,98.48874077,98.74964987,99.04045502,99.33507133,99.35411135,99.21663498,99.04001486,98.85569455,98.75408151,98.59451923,98.49190099,98.41811972,98.35964213,98.31898463,98.30565004,98.28456871,98.28677302,98.29763591,98.29020974,98.29638986,98.31123455,98.30861014,98.3147167,98.32186323,98.32605292,98.28585874,98
1805,88.31305802,95.50838827,97.20579308,97.95414057,98.39279687,98.66830368,99.00985193,99.31962449,99.3111397,99.17876327,99.0102819,98.85905493,98.72364476,98.62468169,98.5319667,98.4646127,98.42066435,98.4086376,98.37064039,98.36207293,98.36627277,98.36081758,98.34348165,98.35159552,98.34468882,98.33340771,98.29020937,98.17932532,4.71E-15,4.71E-15,4.71E-15
2005,87.76112881,95.24036407,97.03332226,97.83540877,98.29576773,98.59137926,98.96986991,99.28846948,99.26332541,99.13222423,98.98377366,98.84561743,98.73358497,98.62889412,98.55554412,98.50833142,98.46640911,98.4344452,98.40255179,98.3989262,98.38826163,98.37195527,98.34599427,98.32540985,98.25804216,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
2205,87.1710717,94.98646991,96.85798037,97.70861368,98.19206124,98.50955531,98.93036524,99.25362645,99.21664204,99.09041875,98.95305754,98.82445749,98.71386594,98.63155585,98.56983748,98.52532992,98.48340747,98.45242018,98.4178192,98.39692572,98.36408762,98.33069154,98.26259726,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
2405,86.57464815,94.74276766,96.6904976,97.58093896,98.09393805,98.42271498,98.8980169,99.21188678,99.16891076,99.04586248,98.91349672,98.7933766,98.72568163,98.62614341,98.56368385,98.5251176,98.47825336,98.44649866,98.39512508,98.34818858,98.26887547,98.08384037,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
2605,86.05654924,94.47046572,96.52410294,97.45517476,97.98796786,98.33059651,98.86299158,99.16585382,99.12460559,99.0032282,98.87597059,98.76743153,98.66388098,98.60880591,98.54257688,98.4846973,98.45743761,98.37949026,98.31720987,98.19861845,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
2805,85.52696024,94.21569567,96.33205872,97.33322623,97.88819247,98.24279717,98.83186183,99.11818086,99.0707385,98.96000899,98.83427299,98.73369711,98.61534781,98.58269707,98.50863652,98.4439233,98.38947379,98.26955444,98.1228349,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
3005,84.97451329,93.93073579,96.17233867,97.19177937,97.78972349,98.21071783,98.79427443,99.07447982,99.02950501,98.9111935,98.79611865,98.69891954,98.56930779,98.53833422,98.4578084,98.38185915,98.27642498,98.03269269,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
3205,84.51168229,93.64990738,95.99143602,97.0649915,97.67968021,98.14099424,98.75302824,99.02946719,98.97751433,98.86262366,98.75829996,98.65020615,98.60195538,98.48107968,98.39098586,98.26755095,98.07555003,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
3405,83.98745484,93.40151698,95.816693,96.93878512,97.57939169,98.06199291,98.72979629,98.98177783,98.91918255,98.8166742,98.70450805,98.6096023,98.53214065,98.40633572,98.27315772,98.08703561,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
3605,83.48815213,93.13696305,95.65796697,96.80370856,97.47858291,98.00292571,98.69288358,98.93181289,98.86924715,98.76496667,98.64740512,98.55076767,98.48573691,98.31797861,98.13018701,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
3805,82.99544298,92.88856947,95.47588666,96.67802341,97.36794233,97.93794597,98.65941465,98.87862085,98.81860842,98.71242544,98.59277827,98.48950633,98.2604635,98.19489863,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
4005,82.57822591,92.64009454,95.30802001,96.55459598,97.27402358,97.88327009,98.63546429,98.83018567,98.76785097,98.65095948,98.53274367,98.41427437,98.25697862,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
4205,82.07048239,92.36655759,95.14007823,96.42723323,97.17109857,97.82663954,98.61228832,98.77678125,98.70910931,98.59384116,98.47076404,98.32473785,98.14567395,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
11000,98,98,98,98,98,98,98,98,98,98,98,98,98,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15,4.71E-15
